NOME_PRODUTO,URL,PORCAO (g),CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
"Sobrecoxas Temperadas Assa Fácil 1,2Kg",https://www.perdigao.com.br/produtos/frango/produtos-in-natura-de-frango-temperados/sobrecoxas-temperadas-assa-facil-12kg,100,261,0.5,13,23,5.8,0,0.5,550
Coxinhas da Asas Temperadas Assa Fácil 1Kg,https://www.perdigao.com.br/produtos/frango/produtos-in-natura-de-frango-temperados/coxinha-da-asa-de-frango-assa-facil,100,165,0,0,0,0,0,0,0
Sobrecoxa Temperada ao Molho Chimichurri Na Brasa 800g,https://www.perdigao.com.br/produtos/frango/produtos-in-natura-de-frango-temperados/sobrecoxa-temperada-ao-molho-chimichurri-na-brasa-800g,100,197,0.5,15,15,5.5,0,0.4,568
Coxinha da Asa Temperada Molho Mostarda Na Brasa 800g,https://www.perdigao.com.br/produtos/frango/produtos-in-natura-de-frango-temperados/coxinha-da-asa-temperada-molho-mostarda-na-brasa-800g,100,206,0.7,17,15,4.9,0,0.7,522
Coração Temperado ao Molho Shoyu Na Brasa 800g,https://www.perdigao.com.br/produtos/frango/produtos-in-natura-de-frango-temperados/coracao-temperado-ao-molho-shoyu-na-brasa-800g,100,156,0,0,0,0,0,0,0
Coxa e Sobrecoxa Desossada com Mostarda e Shoyu Na Brasa 800g,https://www.perdigao.com.br/produtos/frango/produtos-in-natura-de-frango-temperados/coxa-e-sobrecoxa-desossada-com-mostarda-e-shoyu-na-brasa-800g,100,0,0.5,16,9.3,4.4,1,0.5,566
Salsicha hot dog 5kg,https://www.perdigao.com.br/produtos/food-service/salsichas/salsicha-hot-dog-5kg,50,0,0,0,0,0,0,0,0
Salsicha de frango Perdigão 5kg,https://www.perdigao.com.br/produtos/food-service/salsichas/salsicha-de-frango-perdigao-5kg,50,116,1.8,7,9,2.7,0,0.5,460
"Salsicha hot dog 2,8kg",https://www.perdigao.com.br/produtos/food-service/salsichas/salsicha-hot-dog-28kg,50,0,0,0,0,0,0,0,0
Pão de queijo coquetel food service,https://www.perdigao.com.br/produtos/food-service/lanches/pao-de-queijo-coquetel-food-service,50,140,0,0,0,0,0,0,0
Pão de queijo lanche food service,https://www.perdigao.com.br/produtos/food-service/lanches/pao-de-queijo-lanche-food-service,50,140,0,0,0,0,0,0,0
Mini chicken food service,https://www.perdigao.com.br/produtos/food-service/lanches/mini-chicken-food-service,130,296,0,0,0,0,0,0,0
Mini Chicken Queijo 3kg,https://www.perdigao.com.br/produtos/food-service/lanches/mini-chicken-queijo-3kg,130,324,26,16,17,5.1,0,1.4,650
Mini Chicken Tradicional 3kg,https://www.perdigao.com.br/produtos/food-service/lanches/mini-chicken-tradicional-3kg,100,236,19,13,12,32,0,1,500
Steak recheado food service,https://www.perdigao.com.br/produtos/food-service/lanches/steak-recheado-food-service,130,338,0,0,0,0,0,0,0
Linguiça frescal suína 5kg,https://www.perdigao.com.br/produtos/food-service/linguicas/linguica-frescal-suina-5kg,100,236,0,0,0,0,0,0,0
Linguiça de carne suína 5kg,https://www.perdigao.com.br/produtos/food-service/linguicas/linguica-de-carne-suina-5kg,100,0,0,0,0,0,0,0,0
